symbol,timeframe,total_candles,upper_wick_count,neutral_wick_count,upper_wick_percentage,neutral_wick_percentage
1000000MOG_USDT:USDT_1m,1m,208743,112594,96149,53.94,46.06
1000000MOG_USDT:USDT_1m,3m,69582,51599,17983,74.16,25.84
1000000MOG_USDT:USDT_1m,5m,41749,33395,8354,79.99,20.01
1000000MOG_USDT:USDT_1m,15m,13917,12455,1462,89.49,10.51
1000000MOG_USDT:USDT_1m,30m,6959,6460,499,92.83,7.17
1000000MOG_USDT:USDT_1m,1h,3480,3310,170,95.11,4.89
1000000MOG_USDT:USDT_1m,2h,1741,1689,52,97.01,2.99
1000000MOG_USDT:USDT_1m,4h,871,862,9,98.97,1.03
AAVE_USDT:USDT_1m,1m,534965,302067,232898,56.46,43.54
AAVE_USDT:USDT_1m,3m,178322,134260,44062,75.29,24.71
AAVE_USDT:USDT_1m,5m,106994,87048,19946,81.36,18.64
AAVE_USDT:USDT_1m,15m,35666,31935,3731,89.54,10.46
AAVE_USDT:USDT_1m,30m,17834,16568,1266,92.9,7.1
AAVE_USDT:USDT_1m,1h,8918,8524,394,95.58,4.42
AAVE_USDT:USDT_1m,2h,4459,4308,151,96.61,3.39
AAVE_USDT:USDT_1m,4h,2230,2184,46,97.94,2.06
ACT_USDT:USDT_1m,1m,80283,47064,33219,58.62,41.38
ACT_USDT:USDT_1m,3m,26762,20484,6278,76.54,23.46
ACT_USDT:USDT_1m,5m,16057,13269,2788,82.64,17.36
ACT_USDT:USDT_1m,15m,5353,4841,512,90.44,9.56
ACT_USDT:USDT_1m,30m,2677,2495,182,93.2,6.8
ACT_USDT:USDT_1m,1h,1339,1274,65,95.15,4.85
ACT_USDT:USDT_1m,2h,670,643,27,95.97,4.03
ACT_USDT:USDT_1m,4h,335,322,13,96.12,3.88
ADA_USDT:USDT_1m,1m,534365,284296,250069,53.2,46.8
ADA_USDT:USDT_1m,3m,178123,128626,49497,72.21,27.79
ADA_USDT:USDT_1m,5m,106874,84217,22657,78.8,21.2
ADA_USDT:USDT_1m,15m,35626,31411,4215,88.17,11.83
ADA_USDT:USDT_1m,30m,17814,16389,1425,92.0,8.0
ADA_USDT:USDT_1m,1h,8907,8460,447,94.98,5.02
ADA_USDT:USDT_1m,2h,4454,4313,141,96.83,3.17
ADA_USDT:USDT_1m,4h,2228,2177,51,97.71,2.29
AGLD_USDT:USDT_1m,1m,534465,229541,304924,42.95,57.05
AGLD_USDT:USDT_1m,3m,178156,121540,56616,68.22,31.78
AGLD_USDT:USDT_1m,5m,106894,81122,25772,75.89,24.11
AGLD_USDT:USDT_1m,15m,35632,30936,4696,86.82,13.18
AGLD_USDT:USDT_1m,30m,17816,16187,1629,90.86,9.14
AGLD_USDT:USDT_1m,1h,8909,8356,553,93.79,6.21
AGLD_USDT:USDT_1m,2h,4455,4269,186,95.82,4.18
AGLD_USDT:USDT_1m,4h,2228,2167,61,97.26,2.74
AI16Z_USDT:USDT_1m,1m,5664,3964,1700,69.99,30.01
AI16Z_USDT:USDT_1m,3m,1889,1567,322,82.95,17.05
AI16Z_USDT:USDT_1m,5m,1134,990,144,87.3,12.7
AI16Z_USDT:USDT_1m,15m,379,358,21,94.46,5.54
AI16Z_USDT:USDT_1m,30m,190,183,7,96.32,3.68
AI16Z_USDT:USDT_1m,1h,96,93,3,96.88,3.12
AI16Z_USDT:USDT_1m,2h,49,48,1,97.96,2.04
AI16Z_USDT:USDT_1m,4h,25,24,1,96.0,4.0
AIXBT_USDT:USDT_1m,1m,23097,16828,6269,72.86,27.14
AIXBT_USDT:USDT_1m,3m,7699,6619,1080,85.97,14.03
AIXBT_USDT:USDT_1m,5m,4620,4123,497,89.24,10.76
AIXBT_USDT:USDT_1m,15m,1541,1446,95,93.84,6.16
AIXBT_USDT:USDT_1m,30m,771,734,37,95.2,4.8
AIXBT_USDT:USDT_1m,1h,386,373,13,96.63,3.37
AIXBT_USDT:USDT_1m,2h,194,189,5,97.42,2.58
AIXBT_USDT:USDT_1m,4h,98,96,2,97.96,2.04
ALGO_USDT:USDT_1m,1m,535065,132665,402400,24.79,75.21
ALGO_USDT:USDT_1m,3m,178356,82169,96187,46.07,53.93
ALGO_USDT:USDT_1m,5m,107014,59862,47152,55.94,44.06
ALGO_USDT:USDT_1m,15m,35672,26287,9385,73.69,26.31
ALGO_USDT:USDT_1m,30m,17836,14549,3287,81.57,18.43
ALGO_USDT:USDT_1m,1h,8919,7821,1098,87.69,12.31
ALGO_USDT:USDT_1m,2h,4460,4074,386,91.35,8.65
ALGO_USDT:USDT_1m,4h,2231,2109,122,94.53,5.47
ARB_USDT:USDT_1m,1m,534765,236219,298546,44.17,55.83
ARB_USDT:USDT_1m,3m,178256,120252,58004,67.46,32.54
ARB_USDT:USDT_1m,5m,106954,80662,26292,75.42,24.58
ARB_USDT:USDT_1m,15m,35652,30816,4836,86.44,13.56
ARB_USDT:USDT_1m,30m,17827,16186,1641,90.79,9.21
ARB_USDT:USDT_1m,1h,8914,8385,529,94.07,5.93
ARB_USDT:USDT_1m,2h,4458,4275,183,95.9,4.1
ARB_USDT:USDT_1m,4h,2230,2175,55,97.53,2.47
AVAX_USDT:USDT_1m,1m,534865,348855,186010,65.22,34.78
AVAX_USDT:USDT_1m,3m,178289,143167,35122,80.3,19.7
AVAX_USDT:USDT_1m,5m,106973,91114,15859,85.17,14.83
AVAX_USDT:USDT_1m,15m,35659,32744,2915,91.83,8.17
AVAX_USDT:USDT_1m,30m,17830,16872,958,94.63,5.37
AVAX_USDT:USDT_1m,1h,8916,8608,308,96.55,3.45
AVAX_USDT:USDT_1m,2h,4459,4358,101,97.73,2.27
AVAX_USDT:USDT_1m,4h,2230,2203,27,98.79,1.21
BCH_USDT:USDT_1m,1m,533358,331136,202222,62.09,37.91
BCH_USDT:USDT_1m,3m,177787,140583,37204,79.07,20.93
BCH_USDT:USDT_1m,5m,106672,90099,16573,84.46,15.54
BCH_USDT:USDT_1m,15m,35558,32616,2942,91.73,8.27
BCH_USDT:USDT_1m,30m,17780,16747,1033,94.19,5.81
BCH_USDT:USDT_1m,1h,8890,8566,324,96.36,3.64
