symbol,timeframe,total_candles,upper_wick_count,neutral_wick_count,upper_wick_percentage,neutral_wick_percentage
1000000MOG_USDT:USDT_1m,1m,56695,31221,25474,55.07,44.93
1000000MOG_USDT:USDT_1m,3m,18995,14161,4834,74.55,25.45
1000000MOG_USDT:USDT_1m,5m,11455,9203,2252,80.34,19.66
1000000MOG_USDT:USDT_1m,15m,3915,3479,436,88.86,11.14
1000000MOG_USDT:USDT_1m,30m,2030,1854,176,91.33,8.67
1000000MOG_USDT:USDT_1m,1h,1160,1066,94,91.9,8.1
1000000MOG_USDT:USDT_1m,2h,725,654,71,90.21,9.79
1000000MOG_USDT:USDT_1m,4h,435,382,53,87.82,12.18
AAVE_USDT:USDT_1m,1m,145154,83479,61675,57.51,42.49
AAVE_USDT:USDT_1m,3m,48632,36866,11766,75.81,24.19
AAVE_USDT:USDT_1m,5m,29328,23973,5355,81.74,18.26
AAVE_USDT:USDT_1m,15m,10024,8871,1153,88.5,11.5
AAVE_USDT:USDT_1m,30m,5198,4680,518,90.03,9.97
AAVE_USDT:USDT_1m,1h,2971,2674,297,90.0,10.0
AAVE_USDT:USDT_1m,2h,1857,1621,236,87.29,12.71
AAVE_USDT:USDT_1m,4h,1114,928,186,83.3,16.7
ACT_USDT:USDT_1m,1m,21896,13499,8397,61.65,38.35
ACT_USDT:USDT_1m,3m,7336,5792,1544,78.95,21.05
ACT_USDT:USDT_1m,5m,4424,3680,744,83.18,16.82
ACT_USDT:USDT_1m,15m,1512,1365,147,90.28,9.72
ACT_USDT:USDT_1m,30m,784,727,57,92.73,7.27
ACT_USDT:USDT_1m,1h,448,415,33,92.63,7.37
ACT_USDT:USDT_1m,2h,280,255,25,91.07,8.93
ACT_USDT:USDT_1m,4h,168,150,18,89.29,10.71
ADA_USDT:USDT_1m,1m,145061,80543,64518,55.52,44.48
ADA_USDT:USDT_1m,3m,48601,36072,12529,74.22,25.78
ADA_USDT:USDT_1m,5m,29309,23529,5780,80.28,19.72
ADA_USDT:USDT_1m,15m,10017,8876,1141,88.61,11.39
ADA_USDT:USDT_1m,30m,5194,4729,465,91.05,8.95
ADA_USDT:USDT_1m,1h,2968,2723,245,91.75,8.25
ADA_USDT:USDT_1m,2h,1855,1680,175,90.57,9.43
ADA_USDT:USDT_1m,4h,1113,973,140,87.42,12.58
AGLD_USDT:USDT_1m,1m,145061,62999,82062,43.43,56.57
AGLD_USDT:USDT_1m,3m,48601,33305,15296,68.53,31.47
AGLD_USDT:USDT_1m,5m,29309,22194,7115,75.72,24.28
AGLD_USDT:USDT_1m,15m,10017,8548,1469,85.33,14.67
AGLD_USDT:USDT_1m,30m,5194,4577,617,88.12,11.88
AGLD_USDT:USDT_1m,1h,2968,2612,356,88.01,11.99
AGLD_USDT:USDT_1m,2h,1855,1583,272,85.34,14.66
AGLD_USDT:USDT_1m,4h,1113,892,221,80.14,19.86
AI16Z_USDT:USDT_1m,1m,1564,1203,361,76.92,23.08
AI16Z_USDT:USDT_1m,3m,524,446,78,85.11,14.89
AI16Z_USDT:USDT_1m,5m,316,286,30,90.51,9.49
AI16Z_USDT:USDT_1m,15m,108,101,7,93.52,6.48
AI16Z_USDT:USDT_1m,30m,56,55,1,98.21,1.79
AI16Z_USDT:USDT_1m,1h,32,32,0,100.0,0.0
AI16Z_USDT:USDT_1m,2h,20,20,0,100.0,0.0
AI16Z_USDT:USDT_1m,4h,12,12,0,100.0,0.0
AIXBT_USDT:USDT_1m,1m,6256,4724,1532,75.51,24.49
AIXBT_USDT:USDT_1m,3m,2096,1832,264,87.4,12.6
AIXBT_USDT:USDT_1m,5m,1264,1128,136,89.24,10.76
AIXBT_USDT:USDT_1m,15m,432,410,22,94.91,5.09
AIXBT_USDT:USDT_1m,30m,224,219,5,97.77,2.23
AIXBT_USDT:USDT_1m,1h,128,124,4,96.88,3.12
AIXBT_USDT:USDT_1m,2h,80,77,3,96.25,3.75
AIXBT_USDT:USDT_1m,4h,48,47,1,97.92,2.08
ALGO_USDT:USDT_1m,1m,145230,39034,106196,26.88,73.12
ALGO_USDT:USDT_1m,3m,48658,23743,24915,48.8,51.2
