symbol,timeframe,total_candles,upper_wick_count,neutral_wick_count,upper_wick_percentage,neutral_wick_percentage
1000000MOG_USDT:USDT_1m,1m,148263,80945,67318,54.6,45.4
1000000MOG_USDT:USDT_1m,3m,49422,36889,12533,74.64,25.36
1000000MOG_USDT:USDT_1m,5m,29653,23814,5839,80.31,19.69
1000000MOG_USDT:USDT_1m,15m,9885,8877,1008,89.8,10.2
1000000MOG_USDT:USDT_1m,30m,4943,4601,342,93.08,6.92
1000000MOG_USDT:USDT_1m,1h,2472,2354,118,95.23,4.77
1000000MOG_USDT:USDT_1m,2h,1237,1196,41,96.69,3.31
1000000MOG_USDT:USDT_1m,4h,619,610,9,98.55,1.45
AAVE_USDT:USDT_1m,1m,382263,217775,164488,56.97,43.03
AAVE_USDT:USDT_1m,3m,127421,96267,31154,75.55,24.45
AAVE_USDT:USDT_1m,5m,76453,62471,13982,81.71,18.29
AAVE_USDT:USDT_1m,15m,25485,22852,2633,89.67,10.33
AAVE_USDT:USDT_1m,30m,12743,11840,903,92.91,7.09
AAVE_USDT:USDT_1m,1h,6372,6081,291,95.43,4.57
AAVE_USDT:USDT_1m,2h,3186,3075,111,96.52,3.48
AAVE_USDT:USDT_1m,4h,1593,1559,34,97.87,2.13
ACT_USDT:USDT_1m,1m,57243,33446,23797,58.43,41.57
ACT_USDT:USDT_1m,3m,19082,14590,4492,76.46,23.54
ACT_USDT:USDT_1m,5m,11449,9461,1988,82.64,17.36
ACT_USDT:USDT_1m,15m,3817,3446,371,90.28,9.72
ACT_USDT:USDT_1m,30m,1909,1782,127,93.35,6.65
ACT_USDT:USDT_1m,1h,955,907,48,94.97,5.03
ACT_USDT:USDT_1m,2h,478,460,18,96.23,3.77
ACT_USDT:USDT_1m,4h,239,229,10,95.82,4.18
ADA_USDT:USDT_1m,1m,381694,206216,175478,54.03,45.97
ADA_USDT:USDT_1m,3m,127232,92768,34464,72.91,27.09
ADA_USDT:USDT_1m,5m,76339,60614,15725,79.4,20.6
ADA_USDT:USDT_1m,15m,25447,22512,2935,88.47,11.53
ADA_USDT:USDT_1m,30m,12724,11716,1008,92.08,7.92
ADA_USDT:USDT_1m,1h,6362,6044,318,95.0,5.0
ADA_USDT:USDT_1m,2h,3181,3084,97,96.95,3.05
ADA_USDT:USDT_1m,4h,1591,1561,30,98.11,1.89
AGLD_USDT:USDT_1m,1m,381802,164207,217595,43.01,56.99
AGLD_USDT:USDT_1m,3m,127268,86790,40478,68.19,31.81
AGLD_USDT:USDT_1m,5m,76361,57853,18508,75.76,24.24
AGLD_USDT:USDT_1m,15m,25454,22082,3372,86.75,13.25
AGLD_USDT:USDT_1m,30m,12727,11536,1191,90.64,9.36
AGLD_USDT:USDT_1m,1h,6364,5949,415,93.48,6.52
AGLD_USDT:USDT_1m,2h,3182,3042,140,95.6,4.4
AGLD_USDT:USDT_1m,4h,1591,1548,43,97.3,2.7
AI16Z_USDT:USDT_1m,1m,2784,1968,816,70.69,29.31
AI16Z_USDT:USDT_1m,3m,929,776,153,83.53,16.47
AI16Z_USDT:USDT_1m,5m,558,491,67,87.99,12.01
AI16Z_USDT:USDT_1m,15m,187,181,6,96.79,3.21
AI16Z_USDT:USDT_1m,30m,94,91,3,96.81,3.19
AI16Z_USDT:USDT_1m,1h,48,47,1,97.92,2.08
AI16Z_USDT:USDT_1m,2h,25,24,1,96.0,4.0
AI16Z_USDT:USDT_1m,4h,13,12,1,92.31,7.69
AIXBT_USDT:USDT_1m,1m,14883,11168,3715,75.04,24.96
AIXBT_USDT:USDT_1m,3m,4961,4330,631,87.28,12.72
AIXBT_USDT:USDT_1m,5m,2977,2690,287,90.36,9.64
AIXBT_USDT:USDT_1m,15m,993,937,56,94.36,5.64
AIXBT_USDT:USDT_1m,30m,497,474,23,95.37,4.63
AIXBT_USDT:USDT_1m,1h,249,242,7,97.19,2.81
AIXBT_USDT:USDT_1m,2h,125,122,3,97.6,2.4
AIXBT_USDT:USDT_1m,4h,63,61,2,96.83,3.17
ALGO_USDT:USDT_1m,1m,382339,97817,284522,25.58,74.42
ALGO_USDT:USDT_1m,3m,127447,60123,67324,47.17,52.83
ALGO_USDT:USDT_1m,5m,76468,43680,32788,57.12,42.88
ALGO_USDT:USDT_1m,15m,25490,18979,6511,74.46,25.54
