,symbol,volume_24h_binance,price_binance
0,BTC/USDT,1090673773.772984,93938.64
1,USDC/USDT,765333765.9476,1.0021
2,ETH/USDT,687796739.718565,3331.56
3,XRP/USDT,506469703.277,2.2284
4,FDUSD/USDT,464008756.5012,0.9994
5,PEPE/USDT,425772268.53282696,1.928e-05
6,SOL/USDT,356159728.95133,189.76
7,DOGE/USDT,222338078.92468,0.31808
8,XLM/USDT,168286649.9742,0.3939
9,HBAR/USDT,129580691.765,0.28502
10,BNB/USDT,116711176.83076,704.76
11,SUI/USDT,112338542.01325,4.166
12,USUAL/USDT,100431337.85552,0.9186
13,PENGU/USDT,98756303.222217,0.034423
14,PNUT/USDT,98157729.9411,0.6682
15,FTM/USDT,91888518.5756,0.7754
16,ADA/USDT,91483807.74593,0.8819
17,PHA/USDT,83266525.189,0.3596
18,LINK/USDT,81880257.538,20.52
19,TRX/USDT,72391036.39442,0.2547
20,CVC/USDT,66419453.1309,0.1861
21,WIF/USDT,56762961.89873,1.786
22,ACT/USDT,55447763.30833,0.2917
23,AAVE/USDT,55270392.47764,313.16
24,NEIRO/USDT,53351427.26868455,0.00097518
25,WLD/USDT,49414573.6951,2.135
26,ATA/USDT,47955928.7135,0.1878
27,ENA/USDT,47291407.981585,0.9179
28,LTC/USDT,46483796.45718,104.44
29,CRV/USDT,43218791.86336,0.9318
30,BONK/USDT,40373446.37364152,2.927e-05
31,THE/USDT,40284766.47403,1.5785
32,SHIB/USDT,40212852.26099776,2.12e-05
33,UNI/USDT,38395814.3682,13.337
34,NEAR/USDT,37825812.4179,5.085
35,AVAX/USDT,35041735.2333,36.26
36,AERGO/USDT,35033255.0283,0.1354
37,FLOKI/USDT,33816546.5925582,0.00017419
38,MOVE/USDT,33596741.24135,0.8456
39,FET/USDT,33274600.6905,1.26
40,TROY/USDT,32274298.971069,0.006707
41,AGLD/USDT,31394275.2808,2.18
42,APT/USDT,30581569.3166,8.77
43,GMT/USDT,30030984.30846,0.1493
44,GALA/USDT,28009211.63054,0.03593
45,ZEN/USDT,27702272.83,29.65
46,FIL/USDT,26191673.56486,5.031
47,OP/USDT,25589723.46126,1.777
48,LDO/USDT,25564584.70557,1.755
49,SAND/USDT,25026630.7549,0.5586
50,RUNE/USDT,25012752.9379,4.507
51,ALGO/USDT,24399953.325,0.3537
52,DOT/USDT,23765125.14705,6.773
53,DF/USDT,23751979.98182,0.09052
54,EIGEN/USDT,23084294.80388,3.574
55,ETHFI/USDT,23019177.9797,2.117
56,VANA/USDT,22726464.29344,15.545
57,FTT/USDT,21776803.513189,3.9644
58,EUR/USDT,21345428.08829,1.0369
59,XVG/USDT,21170092.028654,0.013793
60,TAO/USDT,21088514.871,448.5
61,ARB/USDT,20842118.59692,0.7235
62,STEEM/USDT,20712497.33562,0.2485
63,STX/USDT,18751994.1599,1.555
64,SEI/USDT,18327496.62286,0.4052
65,GLM/USDT,16917424.07273,0.3722
66,BOME/USDT,16604684.648815,0.006321
67,BLZ/USDT,16155649.5881,0.0582
68,VET/USDT,16101063.792477,0.04472
69,ETC/USDT,16080855.2525,25.09
70,RENDER/USDT,16005630.55672,6.905
71,IOTA/USDT,14728501.38,0.3111
72,THETA/USDT,14681436.6391,2.222
73,SCRT/USDT,14431469.32413,0.5002
74,ICP/USDT,14177103.70989,10.138
75,PEOPLE/USDT,13501587.118456,0.04386
76,DYDX/USDT,13299319.759085,1.4426
77,ORDI/USDT,13177963.5777,27.44
78,AUCTION/USDT,13157772.6314,16.6
79,IO/USDT,13075536.63593,2.878
80,POL/USDT,13040718.62259,0.4627
81,AR/USDT,12649158.6289,17.06
82,TURBO/USDT,12619938.033166,0.008997
83,HIVE/USDT,12548768.4971,0.3511
84,APE/USDT,12364971.66909,1.211
85,TIA/USDT,12355165.44878,4.707
86,SYN/USDT,12129054.68697,0.6166
87,WRX/USDT,11782140.7698,0.0173
88,ATOM/USDT,11733252.69065,6.327
89,INJ/USDT,11621566.3135,19.81
90,RSR/USDT,11543248.8437823,0.013462
91,STPT/USDT,11328302.427338,0.05677
92,OM/USDT,11049985.626,3.7729
93,DENT/USDT,10955334.268292,0.001338
94,1000CAT/USDT,10864305.628581,0.03261
95,SXP/USDT,10727375.56522,0.3167
96,BCH/USDT,10725735.07,442.3
97,TON/USDT,10701071.39135,5.457
98,ME/USDT,10666460.35063,3.021
99,1MBABYDOGE/USDT,10399914.5427726,0.0030846
