,symbol,volume_24h_bitget,price_bitget
0,BGB/USDT,571924150.0444,5.798
1,BTC/USDT,433153552.211153,93928.95
2,ETH/USDT,290388247.1522,3332.09
3,XRP/USDT,112988482.7518,2.2275
4,X/USDT,98568102.5,0.00015225
5,SOL/USDT,84804651.5249,189.75
6,VIRTUAL/USDT,69770179.47,3.929621
7,DOGE/USDT,55571304.148,0.31813
8,XLM/USDT,34839104.93,0.3937
9,PNUT/USDT,27615394.37,0.6678
10,MAJOR/USDT,25381288.29,0.6084
11,PEPE/USDT,25193227.0,1.927e-05
12,NEIROCTO/USDT,25065970.17,0.000975
13,HIPPO/USDT,22548329.14,0.00893
14,SUNDOG/USDT,20756148.87,0.0934
15,BAN/USDT,19560847.88,0.0544
16,USDC/USDT,18835151.1372,1.0022
17,PEAQ/USDT,17656646.57,0.5802
18,LINK/USDT,17529531.3012,20.52
19,ADA/USDT,17096008.59,0.8807
20,TON/USDT,17076868.06,5.459
21,AVAX/USDT,16599427.556,36.26
22,ORCA/USDT,15383704.29,4.06
23,AIXBT/USDT,14379955.91,0.5385
24,FARTCOIN/USDT,13684497.06,0.9209
25,SUI/USDT,13555441.76,4.1656
26,USUAL/USDT,12569641.62,0.919
27,ONDO/USDT,12428550.97,1.3717
28,AAVE/USDT,12307471.651,312.93
29,CRV/USDT,12161210.8515,0.9315
30,STETH/USDT,11987132.0397,3329.84
31,LTC/USDT,11556609.8789,104.47
32,DRIFT/USDT,11153238.157,1.3129
33,GRIFFAIN/USDT,10793053.98,0.3904
34,WIF/USDT,10671265.73,1.787
35,GOAT/USDT,10388500.85,0.5611
36,PUFFER/USDT,10168078.32,0.7331
37,BANANA/USDT,9607906.25,37.35
38,ALU/USDT,9583733.72,0.0987
39,NOT/USDT,9537398.05,0.00633
40,TURBO/USDT,9365600.0,0.008989
41,CRO/USDT,9361862.8314,0.1472
42,FTM/USDT,9231479.0,0.7738
43,CARV/USDT,9075269.05,0.897
44,HAPPY/USDT,8987928.31,0.009982
45,ZK/USDT,8695785.85,0.1879
46,ACT/USDT,8498077.39,0.2914
47,JUNGLE/USDT,8405165.3,6.33e-06
48,TRX/USDT,8365066.301,0.2546
49,SHIB/USDT,8312534.4258,2.12e-05
50,KAS/USDT,8031520.0,0.1135
51,VR/USDT,8012034.42,0.012844
52,BONK/USDT,7996776.0,2.926e-05
53,FRED/USDT,7812071.64,0.0278
54,NEAR/USDT,7554779.7,5.083
55,UNI/USDT,7510517.452,13.34
56,MOVE/USDT,7401842.16,0.8459
57,ARC/USDT,7285922.34,0.3155
58,ISLAND/USDT,7131241.7,0.1695
59,ALGO/USDT,7127242.72,0.3537
60,EOS/USDT,7097519.6761,0.791
61,SEI/USDT,7095515.07,0.405
62,SCIHUB/USDT,6744483.48,0.01804
63,UXLINK/USDT,6544774.38,1.3783
64,MOCA/USDT,6446913.72,0.25669
65,REX/USDT,6336610.9,0.03352
66,AVA/USDT,6116218.61,1.3291
67,WLD/USDT,5946543.2,2.135
68,GRASS/USDT,5946511.26,2.4678
69,RUNE/USDT,5683623.537,4.507
70,HBAR/USDT,5437685.46,0.2855
71,APE/USDT,5304394.3513,1.21
72,COW/USDT,5141745.14,0.8675
73,RIFSOL/USDT,5030404.13,0.05466
74,AR/USDT,5025440.91,17.05
75,ALCH/USDT,4880013.23,0.1497
76,HYPE/USDT,4794802.56,24.537
77,ENS/USDT,4751770.5162,33.3
78,FUEL/USDT,4455789.98,0.06931
79,LAT/USDT,4370432.0,0.009236
80,ZKL/USDT,4243407.51,0.1316
81,GOATS/USDT,4124494.4,0.00074
82,STX/USDT,4120866.62,1.555
83,URO/USDT,4090972.72,0.06548
84,NAKA/USDT,4032527.57,0.9819
85,PENGU/USDT,3984985.05,0.034406
86,ARK/USDT,3867618.78,0.5046
87,RENDER/USDT,3660919.2,6.903
88,MCADE/USDT,3620302.42,0.02705
89,LPT/USDT,3614965.11,15.142
90,ZRC/USDT,3594180.67,0.070438
91,GEMS/USDT,3570852.41,0.10692
92,ETC/USDT,3449549.5317,25.09
93,TIA/USDT,3354771.0,4.708
94,DBR/USDT,3340744.46,0.03572
95,FLOKI/USDT,3268492.94,0.0001742
96,STRK/USDT,3070297.25,0.4724
97,FTT/USDT,2881206.08,3.9601
98,CORE/USDT,2861395.66,1.0545
99,DegenReborn/USDT,2850022.97,0.00901
