,symbol,volume_24h_bitget,price_bitget
0,BTC/USDT,663906545.386689,96548.82
1,ETH/USDT,512709089.3893,3450.15
2,BGB/USDT,486236832.205,6.189
3,XRP/USDT,234393468.8871,2.4215
4,DOGE/USDT,114891818.6913,0.33672
5,SOL/USDT,101115458.6317,206.4
6,X/USDT,98286472.7,0.00015738
7,VIRTUAL/USDT,78746346.67,4.571
8,XLM/USDT,54453912.28,0.4433
9,ADA/USDT,45984678.538,0.9539
10,LINK/USDT,39744295.7141,22.2
11,ONDO/USDT,30890969.33,1.4484
12,PEAQ/USDT,30645062.84,0.667
13,PNUT/USDT,29165261.59,0.7204
14,FARTCOIN/USDT,26463826.92,1.326
15,USDC/USDT,25252780.8568,1.0008
16,LTC/USDT,23042191.5419,105.71
17,AVAX/USDT,22945860.5112,39.36
18,HIPPO/USDT,22005842.46,0.01044
19,GRASS/USDT,21884175.23,3.2389
20,WIF/USDT,21453293.22,2.0
21,PEPE/USDT,19762938.0,2.043e-05
22,MAJOR/USDT,19478556.26,0.6011
23,NEIROCTO/USDT,18961467.71,0.001007
24,SUI/USDT,18145129.66,4.339
25,TON/USDT,17531809.24,5.632
26,ORCA/USDT,16997490.96,4.112
27,AAVE/USDT,16912261.485,334.99
28,BAN/USDT,16767848.87,0.0572
29,USUAL/USDT,16244657.9,1.014
30,AIXBT/USDT,15766335.85,0.5253
31,TRX/USDT,15461956.169,0.2629
32,COOKIE/USDT,15097483.02,0.55472
33,SHIB/USDT,14878601.2962,2.261e-05
34,ALGO/USDT,14754801.18,0.3958
35,GRIFFAIN/USDT,14165033.05,0.3747
36,UNI/USDT,13039345.4811,14.314
37,CRV/USDT,12962775.0319,1.0178
38,SUNDOG/USDT,12487329.55,0.112
39,NEAR/USDT,11078098.89,5.424
40,ZK/USDT,10940287.66,0.2004
41,GOAT/USDT,10895682.6,0.6
42,RIFSOL/USDT,10504507.74,0.06551
43,ARC/USDT,10196982.79,0.3759
44,ACT/USDT,9748337.74,0.3222
45,SEI/USDT,9642574.42,0.4298
46,TURBO/USDT,9616823.0,0.009435
47,ALU/USDT,9353428.6,0.10735
48,NOT/USDT,9351664.85,0.006569
49,STETH/USDT,9335352.8201,3448.47
50,WLD/USDT,9313023.87,2.275
51,HAPPY/USDT,9243673.72,0.010369
52,ALCH/USDT,9240052.83,0.19398
53,KAS/USDT,9229515.0,0.122
54,MOVE/USDT,9200242.96,0.8829
55,SCIHUB/USDT,9065312.19,0.01951
56,URO/USDT,8971426.4,0.07442
57,BANANA/USDT,8949689.01,39.02
58,CRO/USDT,8610266.0984,0.1509
59,JUNGLE/USDT,8187263.2,7e-06
60,ISLAND/USDT,8111969.56,0.1462
61,VR/USDT,8051550.8,0.013225
62,BONK/USDT,7936607.0,3.189e-05
63,FTM/USDT,7888016.0,0.8223
64,CARV/USDT,7821093.64,0.8992
65,EOS/USDT,7702663.73,0.8221
66,FRED/USDT,7663875.72,0.03168
67,DRIFT/USDT,7628629.646,1.285
68,AVA/USDT,7573638.03,1.4045
69,LPT/USDT,7451113.36,16.631
70,PENGU/USDT,7331379.31,0.038304
71,RENDER/USDT,7099253.31,7.626
72,SWARMS/USDT,6538265.39,0.19037
73,HBAR/USDT,6328017.39,0.2926
74,MOCA/USDT,6321394.82,0.26353
75,REX/USDT,6302124.72,0.03338
76,BCH/USDT,6241670.2691,457.6
77,HYPE/USDT,6169962.86,23.98
78,ZEREBRO/USDT,6051400.09,0.6418
79,ENS/USDT,5873389.193,35.49
80,RUNE/USDT,5768731.069,4.84
81,APE/USDT,5271569.6228,1.259
82,PUFFER/USDT,5257003.04,0.7495
83,ETC/USDT,5176949.7637,26.64
84,STX/USDT,5125407.79,1.65
85,STRK/USDT,5104571.65,0.4958
86,TAO/USDT,5081667.827,513.1
87,ZKL/USDT,5042343.93,0.1332
88,BNB/USDT,5013101.1905,704.9
89,AR/USDT,4980959.23,17.8
90,FUEL/USDT,4967458.39,0.06936
91,UXLINK/USDT,4927221.37,1.4895
92,ORDI/USDT,4906547.501,28.21
93,FLOKI/USDT,4845607.34,0.0001837
94,TIA/USDT,4683090.2,5.046
95,COW/USDT,4671473.69,0.9138
96,LAT/USDT,4379995.0,0.010778
97,DOT/USDT,4341346.5784,7.153
98,ZRC/USDT,4192938.92,0.07313
99,NAKA/USDT,4042330.67,1.0271
